Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Category 85Ce48C4B2B95E09,Digikey Description,Description,Category 4C11811B7D3097D6,Category F8883582C9A8234F,Mounting Type,Temperature Range Low,Verified Attributes,Category 7542B8484461Ae85,Digikey Partnumber,Capacitance,Imported From,Mouser Partnumber,Verified Geometry,Land Pattern,Voltage,Ipc Land Pattern Name,Verified Pin Names,Tolerance,Temperature Range High,Verified Pad Assignment,Standard Package,Temperature Coefficient,Size / Dimension,Operating Temperature,Package / Case,Thickness (Max),Other Names,Mfg Package Ident,Dielectric Material,Voltage Rating Dc,Size Length,Size Width,Size Height,Packaging,Voltage - Rated,Applications,Capacitance Tolerance,Size Thickness,Dielectric Characteristic,Case Package Si,Lifecycle Status,Possible Substitute,Centroid Not Specified,Insulation Resistance,Height - Seated (Max),Esr (Equivalent Series Resistance),Symbol Type,Mouser Part Number,Digikey Part Number,I2C Addr,Frequency - Switching,Current - Output,Voltage Output,Category 9E07530Daf1645C0,Reach Svhc Compliance,Output Current,Input Voltage Dc,Category 56439B4967F48D84,Max Output Voltage,Mounting Style,Category 1A59D7532Be8C19E,Max Supply Voltage Dc,Category Bdf870F289E5663F,Category 0542C84834E1De85,Memory Size,Category 42E28Fe8734E9925,Conn 256 Type,Pinouts,Propagation Delay Max,Category 1A2Bd7212Bffc1Ec,Category C6E50Beff7391D22,Category 9E37533Dafe045F0,Output Current Drive,Manufacturer Link,Footprint 0 Description,Min Supply Voltage Dc,Packagedescription,Voltage Nodes,Category Cb8C0686Fca9104B,Category 2Fc5E2Cf1B85F402,Category 84F649Fcb0Ed5F31,Category 848D4987B4D35F4A,Lens Type,Category 8Ce841E2B947572F,Viewing Angle,Forward Voltage,Luminous Intensity,Category B6497B438Fa86D8E,Category 0Dd3C0D93D8Cd614,Category A1D76Cdd91F27A10,Wavelength,Category Ab56665C9B747091,Resistance,Current Rating,Category A2356F3F97E979F2,Category 16B3Dbb927A0Cd74,Category 09Adc4A738A6D26A,Category 4Fd782Dd7A729410,Category 8Ef743Fdbff05530,Frequency,Category C67D0B77F76A1Dba,Category F9493443Ce12228E,Category Bf4E72448E766489,Category 7Bc8B6C24E6Aa00F,Number Of Circuits,Inductance,Q Factor,Self Resonant Frequency,Current,Frequency - Self Resonant,Is Generic,Category 5A00970A6D5C81C7,Category 5C6A91606D4187Ad,Category Cd01000Bfc2916C6,Power Rating,Resistance Tolerance,Resistance (Ohms),Number Of Terminations,Supplier Device Package,Power (Watts),Kits,Height,Composition,V<Sub>F</Sub> [Max],V<Sub>R</Sub>,Package Version,I<Sub>R</Sub> [Max],C<Sub>D</Sub> [Max],Manufacturer Page,I<Sub>Fsm</Sub> [Max],Configuration,I<Sub>F</Sub>,Voltage - Reverse Standoff (Typ),Polarization,Voltage - Breakdown,Is Female,Is Connector,Mounting Feature,Shield Termination,Connector Type,Contact Termination,Frequency - Max,Fastening Type,Impedance,Connector Style,Load Capacitance,Category 008Acd80318Bdb4D,Category 9Afb57F1Abf5413C,Category 6088Ad82520Dbb4F
C1 C10 C100 C101 C103 C104 C105 C106 C107 C108 C111 C112 C113 C114 C115 C116 C117 C118 C119 C12 C122 C123 C124 C125 C136 C14 C141 C146 C149 C150 C154 C158 C16 C160 C164 C17 C172 C177 C18 C181 C185 C19 C2 C20 C21 C23 C26 C27 C28 C29 C31 C34 C35 C36 C37 C41 C45 C47 C48 C49 C50 C51 C52 C54 C55 C57 C59 C6 C60 C61 C62 C63 C64 C65 C69 C7 C70 C73 C74 C77 C79 C8 C80 C89 C90 C91 C92 C94 C96 C97 C99,0.10µF 16V Ceramic Capacitor X7R 0402,Murata,GRM155R71C104KA88D,Digi-Key 490-3261-6-ND/Digi-Key 490-3261-1-ND/Digi-Key 490-3261-2-ND/Newark 18X5178/Newark 38K1647,0402,91,Uncategorized,"0.10µF 16V Ceramic Capacitor X7R 0402 (1005 Metric) 0.039"" L x 0.020"" W (1.00mm x 0.50mm)",Monolithic Ceramic Capacitor,Single Components,Capacitors,surface mount,-55°C,false,Passive Components,490-3261-1-ND,0.1uF,octopart,81-GRM155R71C104KA88,false,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf,16V,CAPC10050X50,false,±10%,+125°C,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C102 C109 C120 C121 C126 C127 C130 C131,No description,Murata Electronics North America,GRM1555C1H820JA01D,Digi-Key 490-5879-6-ND,0402,0,,,,,,"Surface Mount, MLCC",,,,,82pF,,,,,50V,CAPC10050X35,,±5%,,,"10,000","C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",490-5879-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11 C128 C129 C13 C148 C25 C30 C32 C43 C56 C84 C87,10000pF ±10% 25V X7R Ceramic Capacitor,Murata,GRM155R71E103KA01D,Digi-Key 490-1312-1-ND/Digi-Key 490-1312-6-ND/Digi-Key 490-1312-2-ND/Newark 37K6460/Newark 18X5179,0402,12,Uncategorized,"10000pF 25V Ceramic Capacitor X7R 0402 (1005 Metric) 0.039"" L x 0.020"" W (1.00mm x 0.50mm)","10000pF ±10% 25V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039"" L x 0.020"" W (1.00mm x 0.50mm)",Single Components,Capacitors,surface mount,-55°C,false,Passive Components,490-1312-1-ND,0.01uF,octopart,81-GRM36X103K25,false,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E103KA01-01.pdf,25V,CAPC10050X50,false,±10%,+125°C,false,,,,,,,,GRM155,Ceramic Multilayer,25.00V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C110 C133 C134 C137 C138 C140 C142 C143,1.00 uF C,Murata,GRM155R60J105KE19D,Digi-Key 490-1320-1-ND/Digi-Key 490-1320-6-ND/Digi-Key 490-1320-2-ND/Newark 13T1188,0402,8,Uncategorized,,,Single Components,Capacitors,surface mount,,,Passive Components,,1.00 uF,,,,,6.30V,,,,,,,,,,,,,,,6.30V,1.00 mm,0.50 mm,0.50 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C132 C15 C151 C153 C163 C168 C169 C184 C196 C22 C24 C42 C44 C53 C58 C9,1 nF NPO capacitor,Murata Electronics North America,GRM1555C1H102JA01D,,0402,16,,,,,,"Surface Mount, MLCC",,,,,1 nF,,,,,50V,CAPC10050X35,,±5%,,,"10,000","C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",,,,,,,,Cut Tape (CT),50V,General Purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C135 C33 C66 C75,No description,"Samsung Electro-Mechanics America, Inc",CL10A475KO8NNNC,,,4,,,,,,"Surface Mount, MLCC",,,,,4.7µF,PartsBot,,,,,CAPC16080X45,,±10%,,,"4,000",X5R,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-55°C ~ 85°C,0603 (1608 Metric),"0.035"" (0.90mm)",1276-1784-1,,,,,,,Cut Tape (CT),16V,General Purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C139 C161 C166 C167 C170 C171 C174,1.00 uF C,Murata,GRM155R60J105KE19D,Digi-Key 490-1320-1-ND/Digi-Key 490-1320-6-ND/Digi-Key 490-1320-2-ND/Newark 13T1188,0402,7,Uncategorized,,,Single Components,Capacitors,surface mount,,,Passive Components,,1 uF,,,,,6.30V,,,,,,,,,,,,,,,6.30V,1.00 mm,0.50 mm,0.50 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C144 C145 C38 C39 C67 C68 C72 C81 C82 C83 C88 C98,CAP CERAMIC 0603,"Samsung Electro-Mechanics America, Inc",CL10A226MQ8NRNC,,0603,12,,,,,,"Surface Mount, MLCC",,,,,22µF,PartsBot,,,,,CAPC16080X45,,±20%,,,"4,000",X5R,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-55°C ~ 85°C,0603 (1608 Metric),"0.035"" (0.90mm)",1276-1193-2,,,,,,,Cut Tape (CT),6.3V,General Purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C152 C46 C5,4.7 nF Capacitor,Murata,GRM155R71H472KA01D,Digi-Key 490-1308-6-ND/Digi-Key 490-1308-1-ND/Digi-Key 490-1308-2-ND/Newark 14T3289,"0402, 1005",3,Uncategorized,,,Single Components,Capacitors,surface mount,,,Passive Components,,4.7 nF,,,,,50V,CAPC10050X35,,,,,,,,,,,,,,50 V,1 mm,500 um,500 um,,,,±10%,500 um,X7R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C155,Capacitor SMD Ceramic,Murata,GRM155R71C224KA12D,,0402,1,,,,,,,,,,,0.22uF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C156 C176 C187 C188,Capacitor SMD Ceramic,Samsung,CL32B226KAJNFNE,,1210,4,,,,,,,,,,,22uF,,,,,25V,CAPC320250X55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C157 C165 C175 C186 C193,Chip Monolithic Ceramic Capacitors,Murata,GRM188R71C105KA12D,Digi-Key 490-3900-1-ND/Digi-Key 490-3900-6-ND/Digi-Key 490-3900-2-ND/Newark 14T3313,0603,5,Uncategorized,,,Single Components,Capacitors,surface mount,,,Passive Components,,1 uF,,,,,16 V,,,,,,,,,,,,,,,16 V,1.6 mm,800 um,800 um,,,,±10%,800 um,X7R,1608,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C159,No description,Murata Electronics North America,GRM1555C1H471JA01D,Digi-Key 490-1297-6-ND/Digi-Key 490-1297-2-ND,0402,1,,,,,,,,,,,470pF,,,,,,CAPC10050X35,,±5%,,,"10,000","C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",,,,,,,,,50V,,,,,,,GRM1555C1H471JA01J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C162,Capacitor SMD Ceramic,Murata Electronics North America,GRM1555C1H151JA01D,,0402,1,,,,,,,,,,,150pF,,,,,50V,CAPC10050X35,,±5%,,,"10,000","C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",490-3229-2,,,,,,,,,,,,,,,GRM1555C1H151JA01J,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C173 C197,No description,Murata Electronics North America,GRM1555C1H101JZ01D,Digi-Key 490-1278-6-ND,0402,2,,,,,,,,,,,100pF,,,,,50V,CAPC10050X35,,±5%,,,"10,000","C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",490-1278-6,,,,,,,Cut Tape (CT),,,,,,,,GRM1535C1H100JDD5D,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C178,No description,Murata Electronics North America,GRM1555C1HR50CZ01D,,0402,1,,,,,,,,,,,0.5pF,,,,,50V,CAPC10050X35,,±0.25pF,,,,"C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",490-1263-6,,,,,,,Digi-Reel®,,,,,,,,UMK105CG0R5CV-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C179 C180,22 pF Capacitor,Murata,GRM1555C1H220JZ01D,Newark 38K1655,0402,2,Uncategorized,,,Single Components,Capacitors,surface mount,,,Passive Components,,22 pF,,,,,50 V,CAPC10050X35,,,,,,0 ppm/°C,,,,,,,Ceramic Multilayer,,,,,,,,,,C0G/NP0,,,,,10 GΩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C183,No description,Murata Electronics North America,GRM1555C1H121JA01D,,0402,1,,,,,,,,,,,120pF,,,,,50V,CAPC10050X35,,,,,,"C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",490-1292-6,,,,,,,Cut Tape (CT),,,,,,,,GRM1535C1H121JDD5D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
