Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Category 85Ce48C4B2B95E09,Digikey Description,Description,Category 4C11811B7D3097D6,Category F8883582C9A8234F,Mounting Type,Temperature Range Low,Verified Attributes,Category 7542B8484461Ae85,Digikey Partnumber,Capacitance,Imported From,Mouser Partnumber,Verified Geometry,Land Pattern,Voltage,Ipc Land Pattern Name,Verified Pin Names,Tolerance,Temperature Range High,Verified Pad Assignment,Standard Package,Temperature Coefficient,Size / Dimension,Operating Temperature,Package / Case,Thickness (Max),Other Names,Mfg Package Ident,Dielectric Material,Voltage Rating Dc,Size Length,Size Width,Size Height,Packaging,Voltage - Rated,Applications,Capacitance Tolerance,Size Thickness,Dielectric Characteristic,Case Package Si,Lifecycle Status,Possible Substitute,Centroid Not Specified,Insulation Resistance,Height - Seated (Max),Esr (Equivalent Series Resistance),Symbol Type,Mouser Part Number,Digikey Part Number,I2C Addr,Frequency - Switching,Current - Output,Voltage Output,Category 9E07530Daf1645C0,Reach Svhc Compliance,Output Current,Input Voltage Dc,Category 56439B4967F48D84,Max Output Voltage,Mounting Style,Category 1A59D7532Be8C19E,Max Supply Voltage Dc,Category Bdf870F289E5663F,Category 0542C84834E1De85,Memory Size,Category 42E28Fe8734E9925,Conn 256 Type,Pinouts,Propagation Delay Max,Category 1A2Bd7212Bffc1Ec,Category C6E50Beff7391D22,Category 9E37533Dafe045F0,Output Current Drive,Manufacturer Link,Footprint 0 Description,Min Supply Voltage Dc,Packagedescription,Voltage Nodes,Category Cb8C0686Fca9104B,Category 2Fc5E2Cf1B85F402,Category 84F649Fcb0Ed5F31,Category 848D4987B4D35F4A,Lens Type,Category 8Ce841E2B947572F,Viewing Angle,Forward Voltage,Luminous Intensity,Category B6497B438Fa86D8E,Category 0Dd3C0D93D8Cd614,Category A1D76Cdd91F27A10,Wavelength,Category Ab56665C9B747091,Resistance,Current Rating,Category A2356F3F97E979F2,Category 16B3Dbb927A0Cd74,Category 09Adc4A738A6D26A,Category 4Fd782Dd7A729410,Category 8Ef743Fdbff05530,Frequency,Category C67D0B77F76A1Dba,Category F9493443Ce12228E,Category Bf4E72448E766489,Category 7Bc8B6C24E6Aa00F,Number Of Circuits,Inductance,Q Factor,Self Resonant Frequency,Current,Frequency - Self Resonant,Is Generic,Category 5A00970A6D5C81C7,Category 5C6A91606D4187Ad,Category Cd01000Bfc2916C6,Power Rating,Resistance Tolerance,Resistance (Ohms),Number Of Terminations,Supplier Device Package,Power (Watts),Kits,Height,Composition,V<Sub>F</Sub> [Max],V<Sub>R</Sub>,Package Version,I<Sub>R</Sub> [Max],C<Sub>D</Sub> [Max],Manufacturer Page,I<Sub>Fsm</Sub> [Max],Configuration,I<Sub>F</Sub>,Voltage - Reverse Standoff (Typ),Polarization,Voltage - Breakdown,Is Female,Is Connector,Mounting Feature,Shield Termination,Connector Type,Contact Termination,Frequency - Max,Fastening Type,Impedance,Connector Style,Load Capacitance,Category 008Acd80318Bdb4D,Category 9Afb57F1Abf5413C,Category 6088Ad82520Dbb4F
C189,No description,Vishay Sprague,593D107X06R3C2TE3,,Size C (6032),1,,,,,,Surface Mount,,,,,100µF,,,,,6.3V,CAPCP600220X250,,±20%,,,,,"0.236"" L x 0.126"" W (6.00mm x 3.20mm)",-55°C ~ 125°C,2312 (6032 Metric),,,,,,,,,,,,,,,,,TR3C107M6R3C0250,,,"0.110"" (2.79mm)",250 mOhm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C190,Capacitor SMD Ceramic,Murata,GRM1555C1H6R8DZ01D,,0402,1,,,,,,,,,,,6.8pF,,,,,50V,CAPC10050X35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C191,3.9 pF Capacitor,Murata,GRM1555C1H3R9CA01D,Digi-Key 490-5940-1-ND/Digi-Key 490-5940-6-ND/Digi-Key 490-5940-2-ND/Newark 14T3295,"0402, 1005",1,Uncategorized,,,Single Components,Capacitors,,,,Passive Components,,3.9 pF,,,,,50 V,CAPC10050X35,,,,,,,,,,,,,,,1 mm,500 um,,,,,,500 um,C0G/NP0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C192,1.8 pF Capacitor,Murata,GRM1555C1H1R8CA01D,Digi-Key 490-5898-6-ND/Digi-Key 490-5898-1-ND/Digi-Key 490-5898-2-ND/Newark 14T3291,"0402, 1005",1,Uncategorized,,,Single Components,Capacitors,surface mount,,,Passive Components,,1.8 pF,,,,,50 V,CAPC10050X35,,,,,,,,,,,,,,50 V,1 mm,500 um,,,,,,500 um,C0G/NP0,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C194,Capacitor SMD Ceramic,Murata,GRM21BR71H224KA01L,,0805,1,,,,,,,,,,,0.22uF,,,,,16V,CAPC200125X45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C195,Capacitor SMD Ceramic,Murata Electronics North America,GRM1555C1H680JA01D,,0402,1,,,,,,,,,,,68pF,,,,,50V,CAPC10050X35,,±5%,,,"10,000","C0G, NP0","0.039"" L x 0.020"" W (1.00mm x 0.50mm)",-55°C ~ 125°C,0402 (1005 Metric),"0.022"" (0.55mm)",490-5876-2,,,,,,,Cut Tape (CT),,,,,,,,GRM1555C1H680JZ01D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,CAPACITOR TANTAL SMD,Generic,TAJA106K010RNJ,,"1206 (3216 metric), polarized",1,,,,,,,,,,,10uF,,,,,10v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 C40,Monolithic Ceramic Capacitors,Murata,GRM21BR61C106KE15L,Digi-Key 490-5523-1-ND/Digi-Key 490-5523-6-ND/Digi-Key 490-5523-2-ND/Newark 24R6339,0805,2,Uncategorized,,,Single Components,Capacitors,Surface mount,,false,Passive Components,,10 uF,,,false,,16V,,false,,,false,,,,,,,,,Ceramic Multilayer,16.00V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C71,Capacitor SMD Ceramic,Murata Electronics North America,GRM21BR71H224KA01L,,0805,1,,,,,,,,,,,0.22µF,,,,,50V,CAPC200125X45,,±10%,,,"3,000",X7R,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-55°C ~ 125°C,0805 (2012 Metric),"0.053"" (1.35mm)",490-1670-2,,,,,,,Cut Tape (CT),,,,,,,,GRM21BR71H224KA01K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C76 C78 C85 C86 C93 C95 C182,Chip Monolithic Ceramic Capacitors,Murata,GRM1555C1H470JZ01D,,0402,1,Uncategorized,,,Single Components,Capacitors,surface mount,,,Passive Components,,47 pF,,,,,50 V,,,,,,,,,,,,,,Ceramic Multilayer,50 V,1 mm,500 um,500 um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA1,,ON Semi,NCP1117ST25T3G,,SOT−223,1,,Linear Voltage Regulator IC Positive Fixed Output 2.5V 1A SOT-223,1.0 A Low-Dropout Positive Fixed and Adjustable Voltage Regulators,,,,0°C,false,,,,,,false,,,,false,,+125°C,false,,,,,,,,CASE 318H,,,,,,,,,,,,,,,No,,,,,863-NCP1117ST25T3G,NCP1117ST25T3GOSCT-ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA10,LNB voltage regulator with i2c interface,Texas Instruments,TPS65233RTER,,QFN-16,1,,,,,,,,,,,,,,,,,QFN50P300X300X90-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i2c-addr=0x60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA11,IC Tuner DVB-T/T2/C/C2/S/S2 ISDB-T/S,SONY,CXD2858ER,,VQFN-32,1,,,,,,,,,,,,,,,,,QFN50P500X500X90-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i2c-addr = 0x61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA2 DA3 DA5 DA9,"3 A, 900 kHz, monolithic synchronous step-down regulator IC",STMicroelectronics,ST1S10PUR,,DFN8,4,,Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 3A 8-VDFN Exposed Pad,,,,,-40°C,true,,,,,,true,,18V,DFN400X400X90-8,true,,+125°C,true,,,,,,,,,,,,,,,,,,,,,,,No,,,,,511-ST1S10PUR,497-6313-1-ND,,900kHz,3A,0.8V~16.2V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA4 DA12,"Current-Limited, Power-Distribution Switch",Texas Instruments,TPS2041BDR,Digi-Key 296-22880-5-ND/Newark 01J0950,SOIC127P600X175-8N,2,,,,,,,,,,,,Eagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,No,,,,,,,,,,,Semiconductors and Actives,No SVHC,0.5A,5.5V,Power Management,6.0V,surface mount,Hot Swap and Power Distribution,5.5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA6.,"IC Demodulator ATSC A/53 8VSB, ITU-T J.83B 64/256QAM",LG,LG3306A,,QFN48,1,,,,,,,,,,,,,,,,,QFN50P700X700X85-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i2c-addr=0x59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA7,IC Demodulator DTMB/DVB-C,AltoBeam,ATBM8881,,QFN-48,1,,,,,,,,,,,,,,,,,QFN50P700X700X80-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i2c-addr=0x40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA8.,IC Combined Demodulator,SONY,CXD2854ER,,QFN 48,1,,,,,,,,,,,,,,,,,QFN50P700X700X85-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"i2c-addr=0x64, 0x66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD1,Standard,Micron,M25P128-VME6GB,Digi-Key M25P16-VME6G-ND/Newark 24M5080,VDFPN8,1,,,,,,,,,,,,,,,,,DFN600X800X85-8,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,Semiconductors and Actives,,,,,,,,,Flash,Memory,16 MB,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2.,No description,Altera,EP4CE22F17C8N,,FBGA256,1,,IC FPGA 153 I/O 256FBGA,1. Cyclone IV Device Datasheet,,,,0°C,false,,,,,,false,,,BGA256C100P16X16_1700X1700X155,false,,+85°C,false,,,,,,,,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/packaging/04r00230-03.pdf,,,,,,,,,,,,,,,No,,,,,989-EP4CE22F17C8N,544-2833-ND,,,,,,,,,,,,,,,,,,power,https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/dp/cyclone-iv/ep4ce22.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD3 DD4 DD5,Octal Bus Transceiver with 3-State Outputs,Texas Instruments,SN74LVCH245APWR,,20TSSOP,3,,,,,,,,,,,,Altium,,,,,SOP65P640X105-20,,,,,,,,,,,,,,,,,,,,,,,,,Obsolete,,No,,,,,,,,,,,Semiconductors and Actives,,,,,,,,3.6V,,,,,,,7e-09s,"Logic Gates, Single",Buffer Gates,"Logic, Standard",-0.001A,http://www.ti.com/,Shrink Small Outline; 20 Leads; Body Width 4.4 mm; Pitch 0.65 mm,2.0V,Shrink Small Outline; 20 Leads; Body Width 4.4 mm; Pitch 0.65 mm,3.3V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD6,IC BUS BUFF TRI-ST N-INV,Texas Instruments,SN74LVC1G125DBVR,Digi-Key 296-11603-1-ND/Digi-Key 296-11603-6-ND/Digi-Key 296-11603-2-ND/Newark 74C1414,SOT95P280X145-5N,1,,,,,,,,,,,,Eagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,Semiconductors and Actives,No SVHC,,,,,surface mount,,6.5V,,,,,,,4e-09s,"Logic Gates, Single",,"Logic, Standard",,,,-0.5V,,,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD7,IC I2C BUS Level-Shifting REPEATER,NXP Semiconductors,PCA9517D,Digi-Key 568-12126-5-ND/Newark 70R6494,SOIC127P600X175-8N,1,,,,,,,,,,,,Eagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,Semiconductors and Actives,,,,,,,,,,,,,,,,,,,,,,2.7V,,,,Interface ICs,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD8,Dual Inverter Gate,Texas Instruments,SN74LVC2G04DBVR,,SOT-23-6,1,,IC DUAL INVERTER GATE SOT-23-6,,,,,-40°C,true,,,,,,true,,,,true,,+125°C,true,,,,,,,,DBV(R-PDSO-G6),,,,,,,,,,,,,,,No,,,,,595-SN74LVC2G04DBVR,296-13261-1-ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD9,,Microchip,USB3320C-EZK,,QFN32,1,,1/1 Transceiver Half USB 2.0 32-QFN (5x5),Highly Integrated Full Featured Hi-Speed USB 2.0 ULPI Transceiver,,,,-40°C,false,,,,,,false,,,,false,,+85°C,false,,,,,,,,,,,,,,,,,,,,,,,No,,,,,886-USB3320C-EZK,USB3320C-EZK-ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GQ1,PURE SILICONTM CLOCK OSCILLATOR,Abracon,ASE-27.000MHZ-LC-T,,SMT_ASEMB-8.000MHZ-LY-T,1,,,,,,,,false,,,,,,false,,,,false,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL1 HL2,"Green, Red 571nm Green, 631nm Red LED Indication - Discrete 2V Green, 2V Red 0606 (1616 Metric)",Lite-On,LTST-C195KGJRKT,,0606,2,,LED GREEN/RED CLEAR 0606 SMD,,,,surface mount,-30°C,true,,,,octopart,,true,,,,true,,+85°C,true,,,,,,,,,,,1.6 mm,1.5 mm,600 um,,,,,,,,,,No,,,,,859-LTST-C195KGJRKT,160-1452-1-ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optoelectronics,Non-Diffused,Uncategorized,130 °,2 V,45 mcd,High Brightness LEDs,Light Sources and Emitters,LEDs,639 nm,LEDs (Discrete),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1 L10 L11 L12 L13 L14 L15 L16 L18 L19 L2 L20 L21 L4 L41 L5 L7 L8,Inductor,Murata,BLM18EG221SN1D,Digi-Key 490-3992-1-ND/Digi-Key 490-3992-6-ND/Digi-Key 490-3992-2-ND/Newark 73M9090,0603,18,,,,,,surface mount,,,Passive Components,,,,,,,,CAPC16080X45,,,,,,,,,,,,,,,1.6 mm,800 um,800 um,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220 Ω,2 A,Uncategorized,Ferrites,"Filters, Ferrites and EMI/RFI Components",Filters,Single Components,100 MHz,EMI / RFI Shielding / Suppression,Uncategorized,Inductors,Uncategorized,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L17 L3 L6,10 uH Inductor,Sumida,CDRH74NP-100MC,,Surface Mount,3,,,,,,surface mount,,,Passive Components,,,,,,,,,,,,,,,,,,,,,,,7.3 mm,7.3 mm,4.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Components,,,Uncategorized,Inductors,,,10 uH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L22 L35 L37 L39,150 nH Inductor,Coilcraft,0603CS-R27XGLW,,"0603, 1608",4,,,,,,,,,Passive Components,,,,,,,,CAPC16080X45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 mA,,,,,Single Components,,,,Inductors,,,270 nH,49 ,1.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L23 L24,150 nH Inductor,Coilcraft,0603CS-R15XJLW,,"0603, 1608",2,,,,,,,,,Passive Components,,,,,,,,CAPC16080X45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 mA,,,,,Single Components,,,,Inductors,,,150 nH,49 ,1.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L25 L28 L31 L34,Ferrite chip EMIFIL BLM18x,Murata,BLM18EG601SN1D,,0603,4,,,,,,,,,,,,,,,,,CAPC16080X45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600Ohm,,,,,,,,,,,,,,,,0.5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L26 L32,Inductor,Yageo,CLH1005T-22NJ-S,,0402,2,,,,,,,,,,,,,,,,,CAPC10050X35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22nH 5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
